ID,ProductName,Quantity,InvoiceNumber,CustomerID,PaymentMethod,InvoiceGenDate
7169462,Pro Run 8,46,99386979078,7169462,Cash,12/14/2020 1:05
5360240,Free Run 9,65,45525668520,5360240,Card,1/4/2021 9:39
4021878,Insane 1,64,26144174397,4021878,Card,11/2/2020 2:05
3674011,Run 8,89,87191187018,3674011,Card,12/2/2020 19:05
1570408,Jordan 5,98,47181634186,1570408,Card,1/30/2021 0:37
3506939,Soccer 8,69,97901416291,3506939,Cash,11/11/2020 14:13
7608703,Air Max 6,3,30190468602,7608703,Card,11/12/2020 22:54
2194801,Raft 7,40,20138807653,2194801,Card,12/14/2020 6:30
7463180,Exer 6,74,76115015448,7463180,Card,12/31/2020 22:32
4748935,Free Run 7,49,39151911889,4748935,Card,12/24/2020 10:11
8960369,Soccer 5,78,91931475414,8960369,Card ,11/28/2020 15:19
204516,Exer 4,63,28930621782,204516,Card,12/28/2020 5:21
3261077,Air 1,1,16153553415,3261077,Cash,12/20/2020 20:44
3050909,Free Run 6,27,99676366234,3050909,Card,11/27/2020 13:44
220791,Pro Run 8,61,49788245411,220791,Card,1/9/2021 10:41
3095865,Com 1,5,34899683551,3095865,Card,12/3/2020 15:13
3766841,Jordan 1,44,34556291852,3766841,Cash,11/3/2020 13:49
1460427,Hunch 6,26,81578321465,1460427,Cash,11/21/2020 13:55
669909,Run Max 1,66,72030014239,669909,Cash,1/24/2021 16:21
6998822,Insane 9,1,46893581252,6998822,Cash,10/14/2020 17:33
6666299,Run 5,10,92873638597,6666299,POD,1/14/2021 15:08
8908748,Run 8,77,15742475625,8908748,Card,11/12/2020 17:41
6692697,Air Max 7,96,14869248595,6692697,Card,11/29/2020 7:13
9074478,Jordan Pro 6,8,38298697498,9074478,Cash,10/27/2020 2:03
7567797,Free Run 4,76,62847046803,7567797,Card ,2/1/2021 13:16
4532246,Jordan Pro 6,3,10762606137,4532246,Cash,1/1/2021 7:56
1390738,Run 1,18,69520691316,1390738,POD,12/14/2020 2:33
9410800,Com 4,64,32407884250,9410800,Cash,11/15/2020 20:49
1011032,Jordan 1,41,97818694688,1011032,Cash,1/23/2021 1:01
9941322,Pro Run 8,36,73265268229,9941322,Card ,11/21/2020 9:04
7066611,Run 8,54,39181865791,7066611,Card,12/25/2020 6:55
7833753,Insane 10,62,17349156831,7833753,POD,11/25/2020 15:05
5648090,Air Max 2,47,20581042943,5648090,Cash,12/1/2020 5:19
8472698,Com 9,65,82757639516,8472698,Card,11/7/2020 12:09
6454218,Soccer 7,38,24819730080,6454218,Card ,11/18/2020 8:20
5331775,Max 9,37,12100885444,5331775,Card,12/31/2020 15:32
